song_id,song_length,genre_ids,artist_name,composer,lyricist,language
CXoTN1eb7AI+DntdU1vbcwGRV4SCIDxZu+YD8JP8r4E=,247640,465,張信哲 (Jeff Chang),董貞,何啟弘,3
o0kFgae9QtnYgRkVPqLJwa05zIhRlUjfF7O1tDw0ZDU=,197328,444,BLACKPINK,TEDDY|  FUTURE BOUNCE|  Bekuh BOOM,TEDDY,31
DwVvVurfpuz+XPuFvucclVQEyPqcpUkHR0ne1RQzPs0=,231781,465,SUPER JUNIOR,,,31
dKMBWoZyScdxSkihKG+Vf47nc18N9q4m58+b4e7dSSE=,273554,465,S.H.E,湯小康,徐世珍,3
W3bqWd3T+VeHFzHAUfARgW9AvVRaF4N5Yzm4Mr6Eo/o=,140329,726,貴族精選,Traditional,Traditional,52
kKJ2JNU5h8rphyW21ovC+RZU+yEHPM+3w85J37p7vEQ=,235520,864|857|850|843,貴族精選,Joe Hisaishi,Hayao Miyazaki,17
N9vbanw7BSMoUgdfJlgX1aZPE1XZg8OS1wf88AQEcMc=,226220,458,伍佰 & China Blue,Jonathan Lee,,3
GsCpr618xfveHYJdo+E5SybrpR906tsjLMeKyrCNw8s=,276793,465,光良 (Michael Wong),光良,彭資閔,3
oTi7oINPX+rxoGp+3O6llSltQTl80jDqHoULfRoLcG4=,228623,465,林俊傑 (JJ Lin),JJ Lin,Wu Qing Feng,3
btcG03OHY3GNKWccPP0auvtSbhxog/kllIIOx5grE/k=,232629,352|1995,Kodaline,Stephen Garrigan| Mark Prendergast| Vincent May| Jacknife Lee| Jason Boland,Stephen Garrigan| Mark Prendergast| Vincent May| Jacknife Lee| Jason Boland,52
HulM/OaHgD5kUyjNQjDUf8VZdsy7h4EJUIff79Cifwo=,272544,2157,D.L 羅時豐 (Daniel Lo),陳偉強,陳偉強,10
wypPzqFNdUJAqyBVxmFGaK4z7krUNWr5YqA0q0wi9eE=,254880,465,白安 (Ann),白安,白安,3
fAZLdfQaLG76a6Ei4alt1eSjBM9rshQkiQEC6+n+y08=,180871,726,Littlesong,Michael William Balfe,,-1
tqBlH4r/q1Tf6C5+C6ucjGlLjMbfu5yjqB6ifRzy5dc=,257602,458,蔡旻佑 (Evan Yo),蔡旻佑,陳信延,3
an6EdIr+Z+KbqIVQiXn5PKkcXncefQ7hhWONseRuub4=,282697,359,Coldplay,Chris Martin| Guy Berryman| Jonny Buckland| Mikkel S Eriksen| Will Champion| Tor Erik Hermansen,,52
J2MFmy8iF94mExWfRWE3KxsMZB+ZIedV5liqZoSrERQ=,221518,359,Maggie Rogers,Maggie Rogers| Nicholas Das,,52
MrRilXQwoUAcoAf0N3RT82qX2/us/wEhYDXE+ZTIW5o=,199157,458,小男孩樂團 (Men Envy Children),"Skot Suyama陶山/""蔡詩蕓 Dominique Tsai""",程懷昌 Vince Cheng,3
OcG4Ya7iXmVMCMy24C5wxDMtr9w6WQZiFaN0uq6zdTk=,169430,465,BIGBANG,TAEYANG| TEDDY,G-DRAGON| T.O.P| TEDDY,3
JcHIgDP5ivyqYIn7RxfXM13eWwOzcoxkWosSauz6RbU=,374027,726,White Noise,,,-1
3Po6v5nAk+ACnmTgGF4maCQNwWCuCT9BSR13M5c8KG8=,246015,465,步步驚心主題曲原聲EP,嚴藝丹,嚴藝丹,3
IV8kTOBKcUoO4fINEi+VTYzr7TdyM/kin+gapgzygco=,228993,465,Katy Perry,Katy Perry| Max Martin| Lukasz Gottwald| Henry Walter,,52
XtT+taE0f0Ua5O96nZ48vW+r8YwRgO6WdWOoJmmDUNU=,226951,465,劉若英 (Rene Liu),張起政 ,廖瑩如,3
XVdugYtHPN1vCK/8rsZZj/5MX8wv421d4unsaOpPq7I=,292571,465,傅又宣 (Maggie Fu),陶山,方文山,3
FZ5/wgtMuMV0Y8gzzgQj6bH3Qpr62zRV/LwbhNBrdqk=,220056,465,BIGBANG TAEYANG,,,31
